procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
34  0      0 2358816  29080 424336    0    0     0     0  277  306 88 12  0  0  0
31  0      0 2413720  29088 424340    0    0     0     7  274  310 90 10  0  0  0
31  0      0 2375672  29096 424336    0    0     0     4  282  315 87 13  0  0  0
31  0      0 2458724  29096 424344    0    0     0     0  273  309 91  9  0  0  0
29  0      0 2453024  29104 424348    0    0     0     4  272  310 90 10  0  0  0
30  0      0 2440520  29104 424348    0    0     0     0  277  305 91  9  0  0  0
29  0      0 2469644  29112 424352    0    0     0     4  275  305 90 10  0  0  0
28  0      0 2501496  29112 424352    0    0     0     0  274  308 89 11  0  0  0
27  0      0 2486064  29120 424356    0    0     0     7  275  304 87 13  0  0  0
26  0      0 2537620  29128 424352    0    0     0     4  279  308 89 11  0  0  0
26  0      0 2573088  29128 424360    0    0     0     0  278  308 88 12  0  0  0
24  0      0 2588260  29136 424364    0    0     0    15  274  307 91  9  0  0  0
24  0      0 2598452  29136 424364    0    0     0     0  276  305 89 11  0  0  0
24  0      0 2575144  29144 424368    0    0     0     7  273  306 89 11  0  0  0
26  0      0 2566136  29152 424364    0    0     0     4  273  306 88 12  0  0  0
24  0      0 2570888  29152 424372    0    0     0     0  270  300 89 11  0  0  0
25  0      0 2600964  29160 424376    0    0     0     4  272  298 88 12  0  0  0
22  0      0 2625764  29160 424376    0    0     0     0  273  303 90 10  0  0  0
23  0      0 2627844  29168 424380    0    0     0     4  274  302 90 10  0  0  0
23  0      0 2626700  29168 424384    0    0     0     3  273  302 89 11  0  0  0
22  0      0 2636608  29176 424384    0    0     0     4  276  311 89 11  0  0  0
19  0      0 2727948  29184 424384    0    0     0    11  274  311 91  9  0  0  0
19  0      0 2722244  29184 424392    0    0     0     0  276  298 90 10  0  0  0
17  0      0 2773620  29192 424396    0    0     0    17  275  308 90 10  0  0  0
18  0      0 2735456  29192 424400    0    0     0     0  274  308 89 11  0  0  0
17  0      0 2782412  29200 424400    0    0     0     4  275  307 90 10  0  0  0
