procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
40  0      0 2195740  28752 424172    0    0    53   123   86   97 19  3 78  0  0
39  0      0 2225480  28752 424184    0    0     0     0  275  310 89 11  0  0  0
38  0      0 2237084  28760 424188    0    0     0     4  274  304 88 12  0  0  0
37  0      0 2251360  28760 424188    0    0     0     0  274  312 91  9  0  0  0
38  0      0 2236140  28768 424192    0    0     0     4  273  303 89 11  0  0  0
37  0      0 2319544  28768 424196    0    0     0     9  274  301 89 11  0  0  0
36  0      0 2305772  28776 424196    0    0     0     7  274  299 90 10  0  0  0
37  0      0 2251556  28784 424200    0    0     0     4  274  307 90 10  0  0  0
36  0      0 2332020  28784 424200    0    0     0     4  274  301 90 10  0  0  0
37  0      0 2281632  28792 424204    0    0     0     4  275  302 90 10  0  0  0
37  0      0 2259780  28792 424204    0    0     0     0  273  303 90 10  0  0  0
25  0      0 2512176  28800 424208    0    0     0     4  273  304 91  9  0  0  0
 0  0      0 3194552  28808 424204    0    0     0     4  129  144 35  1 64  0  0
 0  0      0 3197372  28808 424212    0    0     0     0   83   74 17  4 79  0  0
 0  0      0 3200176  28816 424212    0    0     0     4   92   94 16  4 80  0  0
 0  0      0 3203028  28816 424216    0    0     0     8   71   45 18  4 79  0  0
 0  0      0 3205608  28824 424216    0    0     0     7   63   48 12  3 85  0  0
 0  0      0 3208416  28824 424216    0    0     0     0   14   24  1  0 99  0  0
 0  0      0 3211056  28832 424216    0    0     0     4   19   32  0  0 100  0  0
 0  0      0 3213844  28832 424216    0    0     0     0   13   23  0  0 100  0  0
 0  0      0 3216644  28840 424216    0    0     0     4   15   25  0  0 100  0  0
 0  0      0 3219428  28840 424216    0    0     0     0   12   20  0  0 100  0  0
28  0      0 2468968  28848 424216    0    0     0     7  241  219 63 10 27  0  0
42  0      0 2227564  28848 424220    0    0     0     0  291  305 86 14  0  0  0
65  0      0 1567736  28856 424212    0    0     0     4  264  347 87 13  0  0  0
65  0      0 1510684  28856 424224    0    0     0     0  267  291 94  6  0  0  0
43  0      0 2027940  28864 424220    0    0     0     4  279  319 89 11  0  0  0
46  0      0 1967168  28864 424228    0    0     0     7  274  305 91  9  0  0  0
41  0      0 2231464  28872 424232    0    0     0     7  285  329 88 12  0  0  0
40  0      0 2143816  28872 424236    0    0     0     0  272  306 92  8  0  0  0
37  0      0 2239936  28880 424236    0    0     0     4  275  310 91  9  0  0  0
33  0      0 2320688  28880 424240    0    0     0     0  276  312 89 11  0  0  0
31  0      0 2409648  28888 424244    0    0     0     4  280  323 89 11  0  0  0
33  0      0 2306136  28896 424236    0    0     0     8  276  313 90 10  0  0  0
28  0      0 2509764  28896 424248    0    0     0     0  277  313 90 10  0  0  0
30  0      0 2420252  28904 424252    0    0     0     4  274  314 91  9  0  0  0
27  0      0 2481700  28904 424252    0    0     0     0  276  316 90 10  0  0  0
